2.5953147,-1.5981296,8.974665,2019-01-04 11:37:01.695
2.3942018,-1.5646108,9.396045,2019-01-04 11:37:01.854
2.3750482,-2.0338743,9.396045,2019-01-04 11:37:02.012
1.9297266,-1.6651673,9.496601,2019-01-04 11:37:02.172
1.9488802,-1.5885528,9.463082,2019-01-04 11:37:02.334
1.8243817,-1.5119383,9.534908,2019-01-04 11:37:02.493
1.7812861,-1.0809821,9.491813,2019-01-04 11:37:02.656
1.8004397,-1.1001357,9.640253,2019-01-04 11:37:02.817
1.8483237,-1.2437878,9.692925,2019-01-04 11:37:02.975
1.8339585,-1.2006922,9.67856,2019-01-04 11:37:03.136
1.7621324,-1.2389994,9.645041,2019-01-04 11:37:03.3
1.9009962,-1.2437878,9.487024,2019-01-04 11:37:03.457
1.8243817,-1.5598224,9.831789,2019-01-04 11:37:03.617
1.7286136,-1.555034,9.640253,2019-01-04 11:37:03.779
1.8100165,-1.5837644,9.630676,2019-01-04 11:37:03.94
1.8435353,-1.6795325,9.606734,2019-01-04 11:37:04.099
1.8626889,-1.5693992,9.654618,2019-01-04 11:37:04.259
1.8722657,-1.5933412,9.544485,2019-01-04 11:37:04.422
1.8722657,-1.5885528,9.645041,2019-01-04 11:37:04.581
1.8674773,-1.5885528,9.592369,2019-01-04 11:37:04.743
1.8435353,-1.5885528,9.630676,2019-01-04 11:37:04.902
1.8531121,-1.578976,9.621099,2019-01-04 11:37:05.062
1.8243817,-1.555034,9.712079,2019-01-04 11:37:05.224
1.8962077,-1.5167267,9.4535055,2019-01-04 11:37:05.384
1.8962077,-1.5071499,9.67856,2019-01-04 11:37:05.545
1.7908629,-1.578976,9.601946,2019-01-04 11:37:05.708
1.7717092,-1.5454572,9.707291,2019-01-04 11:37:05.866
1.8531121,-1.5837644,9.702502,2019-01-04 11:37:06.027
1.8195933,-1.555034,9.534908,2019-01-04 11:37:06.19
1.7860745,-1.5454572,9.554062,2019-01-04 11:37:06.351
1.8148049,-1.5981296,9.659407,2019-01-04 11:37:06.51
1.7669208,-1.5933412,9.5732155,2019-01-04 11:37:06.672
1.757344,-1.5885528,9.630676,2019-01-04 11:37:06.833
1.6759412,-1.6077064,9.601946,2019-01-04 11:37:06.993
1.7525556,-1.6316484,9.606734,2019-01-04 11:37:07.152
1.7142484,-1.6316484,9.587581,2019-01-04 11:37:07.315
1.7190368,-1.6651673,9.654618,2019-01-04 11:37:07.474
1.6998832,-1.6364368,9.606734,2019-01-04 11:37:07.634
1.70946,-1.6220716,9.621099,2019-01-04 11:37:07.796
1.7381904,-1.6603789,9.601946,2019-01-04 11:37:07.956
1.7286136,-1.6843209,9.568427,2019-01-04 11:37:08.116
1.7669208,-1.6747441,9.640253,2019-01-04 11:37:08.277
1.6807296,-1.6747441,9.592369,2019-01-04 11:37:08.438
1.6998832,-1.6124948,9.659407,2019-01-04 11:37:08.598
1.6567876,-1.6172832,9.630676,2019-01-04 11:37:08.758
1.6711528,-1.6412252,9.601946,2019-01-04 11:37:08.919
1.7381904,-1.4065934,9.635465,2019-01-04 11:37:09.079
1.8148049,-1.1336545,9.625888,2019-01-04 11:37:09.24
1.9393034,-0.7218518,9.740809,2019-01-04 11:37:09.401
2.054225,-0.6452374,9.654618,2019-01-04 11:37:09.561
1.9728222,-0.6500258,9.668983,2019-01-04 11:37:09.721
2.0111294,-0.6596026,9.712079,2019-01-04 11:37:09.882
1.9728222,-0.8846575,9.645041,2019-01-04 11:37:10.041
1.8722657,-1.1145009,9.659407,2019-01-04 11:37:10.201
1.9153614,-1.2868834,9.635465,2019-01-04 11:37:10.364
1.8483237,-1.2150574,9.707291,2019-01-04 11:37:10.526
1.9488802,-1.5693992,9.625888,2019-01-04 11:37:10.683
1.934515,-1.3587095,9.587581,2019-01-04 11:37:10.843
1.8052281,-1.4209588,9.300277,2019-01-04 11:37:11.007
2.3127987,-1.7657237,8.8884735,2019-01-04 11:37:11.165
3.7110126,-2.9771898,10.018537,2019-01-04 11:37:11.325
3.1794999,-2.4361002,9.060856,2019-01-04 11:37:11.486
3.4332852,-2.9101522,8.347384,2019-01-04 11:37:11.658
3.8259344,-3.2022448,8.337808,2019-01-04 11:37:11.809
4.295198,-3.2836475,6.7624226,2019-01-04 11:37:11.969
6.0621185,-4.787206,6.0106435,2019-01-04 11:37:12.132
